Date,SBIN.NS,TATAMOTORS.NS,RELIANCE.NS,LT.NS,TATASTEEL.NS
2015-08-03,272.4051208496094,388.0428466796875,478.8345031738281,1046.5682373046875,207.19789123535156
2015-08-04,279.722900390625,380.5958557128906,471.9322204589844,1043.83349609375,214.1754913330078
2015-08-05,276.6213073730469,376.24761962890625,471.8128662109375,1046.685791015625,219.18936157226562
2015-08-06,280.1590576171875,382.9449157714844,467.6094055175781,1076.7703857421875,218.10304260253906
2015-08-07,272.6474304199219,393.24072265625,470.18878173828125,1078.3582763671875,218.98045349121094
2015-08-10,274.0528564453125,385.5438537597656,462.80889892578125,1070.8885498046875,218.22837829589844
2015-08-11,260.5319519042969,369.00054931640625,461.42364501953125,1059.3609619140625,206.23690795898438
2015-08-12,248.4648895263672,355.05621337890625,450.3896179199219,1036.6285400390625,208.11708068847656
2015-08-13,251.32412719726562,349.258544921875,445.8279113769531,1035.2462158203125,195.20639038085938
2015-08-14,260.24114990234375,355.1061706542969,461.87744140625,1058.3902587890625,198.54896545410156
2015-08-17,271.1451110839844,355.9558410644531,454.11541748046875,1047.1273193359375,206.19508361816406
2015-08-18,276.039794921875,348.4588928222656,450.9627990722656,1058.772705078125,210.87469482421875
2015-08-19,269.4489440917969,351.1077880859375,455.9782409667969,1067.330322265625,208.74378967285156
2015-08-20,262.22808837890625,342.0614929199219,437.6837158203125,1048.0093994140625,201.84976196289062
2015-08-21,259.27191162109375,332.26544189453125,433.69525146484375,1023.3946533203125,198.25648498535156
2015-08-24,237.85169982910156,308.1252136230469,396.246337890625,959.6089477539062,172.22618103027344
2015-08-25,245.5571746826172,328.7168884277344,405.1308898925781,955.5508422851562,178.3681640625
2015-08-26,238.14247131347656,334.96435546875,407.6387023925781,936.4650268554688,180.20657348632812
2015-08-27,241.77713012695312,333.9147644042969,415.161865234375,952.845458984375,189.1897430419922
2015-08-28,241.29251098632812,339.9123229980469,416.7142639160156,950.727783203125,191.32064819335938
2015-08-31,239.74172973632812,340.0122985839844,408.8327941894531,942.758544921875,188.35411071777344
2015-09-01,231.7454833984375,329.7664489746094,401.16632080078125,925.6756591796875,180.749755859375
2015-09-02,223.45848083496094,324.31866455078125,405.7996520996094,907.7017211914062,183.42381286621094
2015-09-03,225.10618591308594,333.4149475097656,407.85357666015625,932.15234375,191.98916625976562
2015-09-04,218.2245635986328,322.769287109375,399.279541015625,911.3856811523438,182.92242431640625
2015-09-07,214.29916381835938,322.71929931640625,397.98980712890625,896.9172973632812,180.37371826171875
2015-09-08,221.32615661621094,330.7660217285156,405.3458557128906,929.5972290039062,191.1534881591797
2015-09-09,224.52462768554688,344.7603759765625,417.5024108886719,946.2343139648438,200.13668823242188
2015-09-10,220.45382690429688,353.9566650390625,414.1348876953125,959.8115234375,200.72161865234375
2015-09-11,223.02232360839844,344.46051025390625,411.2450256347656,952.4434814453125,194.6632080078125
